,B01003_001E,B02001_002E,B21001_002E,B22003_002E,Pop_POC,Percent_Veterans,Percent_FoodInsecure,percent_populationofusa,county_name,fips,Percent_POC,Percent_Risk
01001,55639,42150,4559,2288,13489,0.08193892773054871,0.041122234403925303,0.0016738384190426309,Autauga County,01001,0.24243785833677817,0.09179321472257371
01003,218289,186504,19174,5782,31785,0.08783768307152445,0.02648782119117317,0.006566985651330844,Baldwin County,01003,0.1456097192254305,0.06662555228486475
01005,25026,11587,1340,2262,13439,0.05354431391352993,0.09038599856149604,0.0007528798194604662,Barbour County,01005,0.5370015184208423,0.1704211776788322
01007,22374,17138,1205,1346,5236,0.05385715562706713,0.06015911325645839,0.0006730973020302274,Bibb County,01007,0.23402163225172073,0.08717774960931912
01009,57755,54271,3408,2223,3484,0.05900787810579171,0.038490174010908144,0.0017374959631159285,Blount County,01009,0.06032378149078002,0.03988983239264895
01011,10173,2663,292,833,7510,0.028703430649759165,0.08188341688784036,0.0003060435708211989,Bullock County,01011,0.7382286444509978,0.21228038388985462
01013,19726,10183,975,1049,9543,0.04942715198215553,0.053178546081314004,0.0005934351202220553,Butler County,01013,0.48377775524688227,0.14674422210764346
01015,114324,83801,8895,7058,30523,0.07780518526293692,0.06173681816591442,0.003439312414289073,Calhoun County,01015,0.2669868094188447,0.10249203131549628
21135,13345,13030,715,1364,315,0.05357811914574747,0.1022105657549644,0.00040146971912011193,Lewis County,21135,0.023604346197077557,0.044948625204227384
21137,24493,23113,1628,1682,1380,0.06646797044053403,0.06867268199077288,0.000736845097820075,Lincoln County,21137,0.05634262850610378,0.04805503150880769
21139,9172,8903,474,480,269,0.05167902311382468,0.05233318796336677,0.0002759295813990009,Livingston County,21139,0.029328390754470128,0.03340413285326515
21141,27049,24572,1378,1212,2477,0.05094458205478945,0.04480757144441569,0.0008137395603207125,Logan County,21141,0.09157454989093866,0.047035110737616126
21143,8226,7532,762,529,694,0.09263311451495258,0.06430829078531486,0.00024747020678022035,Lyon County,21143,0.08436664235351325,0.06038887946514024
21145,65485,55296,3842,2873,10189,0.05866992441017027,0.043872642589906086,0.001970044552759875,McCracken County,21145,0.15559288386653433,0.06502637385484264
21147,17333,15567,1048,1961,1766,0.06046270120579242,0.11313679109213638,0.000521444334320637,McCreary County,21147,0.10188657474182196,0.06900187784351786
21151,92090,83884,5700,4461,8206,0.061895971332392226,0.04844174177435118,0.0027704268590311807,Madison County,21151,0.08910848083396677,0.050554155199935336
21155,19257,17315,1082,1339,1942,0.05618736044035935,0.06953315677416004,0.0005793257685347318,Marion County,21155,0.10084644544840837,0.05678657210786562
21157,31225,30241,2282,1072,984,0.07308246597277822,0.03433146517213771,0.0009393699497583736,Marshall County,21157,0.03151321056845476,0.03496662791578227
21161,17122,15337,758,998,1785,0.04427052914379161,0.05828758322625861,0.0005150966302566172,Mason County,21161,0.10425183973834833,0.05183126218466379
21163,28379,25929,3212,958,2450,0.1131822826738081,0.0337573557912541,0.0008537511546578986,Meade County,21163,0.08633144226364566,0.05853120797084144
21167,21690,20094,1436,829,1596,0.06620562471184878,0.038220378054402954,0.0006525199106568174,Mercer County,21167,0.073582295988935,0.044665204666460886
21169,10062,9580,554,653,482,0.05505863645398529,0.06489763466507653,0.00030270425730884724,Metcalfe County,21169,0.04790300139137348,0.042040494191936034
21173,28042,26423,1622,2006,1619,0.05784180871549818,0.07153555381213894,0.000843612878498777,Montgomery County,21173,0.05773482633193067,0.04698895043451664
21175,13270,12382,708,1123,888,0.053353428786737,0.08462697814619442,0.00039921342620636083,Morgan County,21175,0.06691785983421251,0.05132437004833758
21179,45915,42303,3172,1595,3612,0.06908417728411195,0.03473810301644343,0.0013813025217984218,Nelson County,21179,0.0786671022541653,0.045967671269129776
21181,7189,6929,307,454,260,0.04270413131172625,0.06315203783558214,0.00021627319675942186,Nicholas County,21181,0.03616636528028933,0.035559701906089286
21185,66508,60193,4051,833,6315,0.060909965718409814,0.012524809045528357,0.00200082038810344,Oldham County,21185,0.09495098334035003,0.04259664462309791
21187,10847,10319,738,539,528,0.068037245321287,0.049691158845763805,0.00032632012313944206,Owen County,21187,0.048677053563197195,0.04168294446334686
21191,14587,13917,854,758,670,0.05854528004387468,0.05196407760334545,0.00043883392977183013,Pendleton County,21191,0.045931308699526975,0.03921987506912973
21195,58595,57094,2672,4853,1501,0.045601160508575815,0.08282276644764912,0.0017627664437499407,Pike County,21195,0.025616520180902807,0.03895080339521942
21197,12283,11962,613,1095,321,0.04990637466416999,0.0891476023772694,0.0003695206114613964,Powell County,21197,0.026133680696898153,0.041389294587449735
21201,2139,2114,88,189,25,0.04114071996259935,0.08835904628330996,6.43494739001813e-05,Robertson County,21201,0.01168770453482936,0.035312955063659716
21203,16795,16436,662,1420,359,0.0394164930038702,0.08454897290860375,0.0005052591931526625,Rockcastle County,21203,0.021375409348020243,0.036461533613411715
21207,17846,16914,1041,1065,932,0.05833239941723636,0.05967723859688446,0.0005368773778506945,Russell County,21207,0.05222458814300123,0.042692775883743185
21209,55961,49080,3535,1620,6881,0.0631689926913386,0.028948732152749235,0.0016835254366190022,Scott County,21209,0.1229606332981898,0.05419047089472416
21213,18319,15673,1042,744,2646,0.05688083410666521,0.04061357060974944,0.0005511070651600847,Simpson County,21213,0.14444019870080244,0.06062142762059429
21215,18945,18172,1025,427,773,0.05410398522037477,0.022538928477170758,0.0005699395900135272,Spencer County,21215,0.040802322512536286,0.029503793950023838
21219,12334,10797,640,850,1537,0.05188908707637425,0.06891519377330955,0.00037105489064274716,Todd County,21219,0.12461488568185504,0.0614475553555454
21223,8528,7948,722,462,580,0.08466228893058161,0.054174484052532834,0.00025655554624625813,Trimble County,21223,0.06801125703564728,0.051776146391252
21225,14582,12060,985,595,2522,0.06754903305445069,0.040803730626800164,0.0004386835102442467,Union County,21225,0.17295295569880675,0.07043610072257546
21229,12044,10723,508,441,1321,0.042178678180006646,0.03661574227831285,0.0003623305580429096,Washington County,21229,0.1096811690468283,0.04720948001579768
21231,20447,19262,1231,1265,1185,0.06020443096786815,0.06186726659167604,0.0006151256160995825,Wayne County,21231,0.05795471218271629,0.04516038383959002
21235,36252,35139,1836,2353,1113,0.0506454816285998,0.0649067637647578,0.0010906017427907305,Whitley County,21235,0.03070175438596491,0.036836150380528315
21237,7188,7019,304,1087,169,0.042292710072342796,0.15122426265998887,0.00021624311285390517,Wolfe County,21237,0.023511407902058988,0.054311155936811135
23001,107958,98107,8118,7947,9851,0.07519590952036903,0.07361196020674707,0.0032477982717698797,Androscoggin County,23001,0.09124844847070157,0.06082602911739689
23003,67431,63713,6063,5447,3718,0.0899141344485474,0.08077887025255447,0.0020285878328953366,Aroostook County,23003,0.05513784461152882,0.05696485928638151
23007,29933,28705,2622,1798,1228,0.08759563024087128,0.060067484047706544,0.0009005015438308214,Franklin County,23007,0.04102495573447366,0.04739714289172057
23009,54832,52336,4241,2327,2496,0.07734534578348409,0.04243872191421068,0.001649560707290669,Hancock County,23009,0.04552086372920922,0.041738623033548666
23013,39809,38067,2836,1680,1742,0.07124017182044261,0.04220151222085458,0.0011976101947135658,Knox County,23013,0.04375894898138612,0.03959956080434922
23015,34415,32910,3357,1702,1505,0.09754467528693883,0.049455179427575185,0.001035337608356587,Lincoln County,23015,0.04373093127996513,0.047941530900708934
23019,151696,142691,10904,9995,9005,0.07188060331188693,0.0658883556586858,0.004563608131258486,Penobscot County,23019,0.05936214534331821,0.050423678111287354
23021,16864,16041,1544,1345,823,0.09155597722960152,0.0797556925996205,0.0005073349826333135,Piscataquis County,23021,0.04880218216318786,0.055155296743760795
23025,50573,48731,4449,4314,1842,0.08797184268285449,0.08530243410515492,0.0015214333536951233,Somerset County,23025,0.03642259703794515,0.05280457679491242
23029,31378,28369,3003,2760,3009,0.09570399643062018,0.08795971699917139,0.0009439727873024258,Washington County,23029,0.09589521320670534,0.07012572485594984
23031,206074,195085,16559,8563,10989,0.0803546298902336,0.0415530343468851,0.006199510745444582,York County,23031,0.05332550443044731,0.04535816985325265
